,Actual_DT,Actual_ET,LI_8100_Vent,Multiplexer_CO2_1,Multiplexer_CO2_2,Multiplexer_CO2_3,Picarro_ANEM,Picarro_CO2,Vent_Anem_Temp
231,2019-09-17 18:36:00,1568766960.0,,,,,,1568767081.1,
232,2019-09-17 18:37:00,1568767020.0,,,,,,1568767141.1,
233,2019-09-18 09:12:00,1568819520.0,,,,,,1568819641.7,
234,2019-09-18 09:13:00,1568819580.0,,,,,,1568819701.7,
235,2019-09-18 19:14:00,1568855640.0,,,,,,1568855761.9,
236,2019-09-18 19:15:00,1568855700.0,,,,,,1568855822.0,
237,2019-09-18 19:16:00,1568855760.0,,,,,,1568855882.0,
238,2019-09-19 19:36:00,1568943360.0,,,,,,1568943483.1,
239,2019-09-19 19:37:00,1568943420.0,,,,,,1568943543.0,
240,2019-09-19 19:38:00,1568943480.0,,,,,,1568943603.1,
241,2019-09-12 17:08:00,1568329680.0,,,,,1568329793.8,,
242,2019-09-18 09:13:00,1568819580.0,,,,,1568819699.0,,
243,2019-09-18 09:14:00,1568819640.0,,,,,1568819759.4,,
244,2019-09-18 19:15:00,1568855700.0,,,,,1568855819.4,,
245,2019-09-18 19:16:00,1568855760.0,,,,,1568855879.4,,
246,2019-09-19 19:36:00,1568943360.0,,,,,1568943480.4,,
247,2019-09-19 19:37:00,1568943420.0,,,,,1568943540.3,,
248,2019-09-19 19:38:00,1568943480.0,,,,,1568943600.7,,
249,2019-09-13 09:08:00,1568387280.0,,1568387624,1568387624,1568387625,,,
250,2019-09-13 09:09:00,1568387340.0,,1568387684,1568387685,1568387685,,,
251,2019-09-13 09:10:00,1568387400.0,,1568387745,1568387744,1568387745,,,
252,2019-09-13 09:14:00,1568387640.0,,1568387984,1568387984,1568387985,,,
253,2019-09-13 09:15:00,1568387700.0,,1568388045,1568388045,1568388045,,,
254,2019-09-13 09:16:00,1568387760.0,,1568388105,1568388104,1568388105,,,
255,2019-09-14 11:08:00,1568480880.0,,1568481233,1568481233,1568481233,,,
256,2019-09-14 11:09:00,1568480940.0,,1568481293,1568481293,1568481293,,,
257,2019-09-16 09:29:00,1568647740.0,,1568648109,1568648110,1568648110,,,
258,2019-09-16 09:30:00,1568647800.0,,1568648169,1568648170,1568648171,,,
259,2019-09-16 09:31:00,1568647860.0,,1568648229,1568648229,1568648229,,,
260,2019-09-16 21:45:00,1568691900.0,,1568692273,1568692273,1568692273,,,
261,2019-09-16 21:46:00,1568691960.0,,1568692333,1568692333,1568692333,,,
262,2019-09-16 21:47:00,1568692020.0,,1568692393,1568692393,1568692393,,,
263,2019-09-17 08:23:00,1568730180.0,,1568730558,1568730558,1568730557,,,
264,2019-09-17 08:24:00,1568730240.0,,1568730618,1568730619,1568730618,,,
265,2019-09-17 08:25:00,1568730300.0,,1568730677,1568730679,1568730677,,,
266,2019-09-17 18:19:00,1568765940.0,,1568766320,1568766320,1568766320,,,
267,2019-09-17 18:20:00,1568766000.0,,1568766381,1568766381,1568766381,,,
268,2019-09-17 18:21:00,1568766060.0,,1568766440,1568766440,1568766440,,,
269,2019-09-18 08:51:00,1568818260.0,,1568818648,1568818646,1568818648,,,
270,2019-09-18 08:52:00,1568818320.0,,1568818707,1568818707,1568818707,,,
271,2019-09-18 08:53:00,1568818380.0,,1568818768,1568818767,1568818768,,,
272,2019-09-18 18:58:00,1568854680.0,,1568855070,1568855070,1568855070,,,
273,2019-09-18 18:59:00,1568854740.0,,1568855131,1568855130,1568855130,,,
274,2019-09-18 19:00:00,1568854800.0,,1568855190,1568855190,1568855190,,,
275,2019-09-19 08:35:00,1568903700.0,,1568904096,1568904096,1568904096,,,
276,2019-09-19 08:36:00,1568903760.0,,1568904155,1568904155,1568904156,,,
277,2019-09-19 08:37:00,1568903820.0,,1568904216,1568904216,1568904216,,,
278,2019-09-19 19:06:00,1568941560.0,,1568941960,1568941960,,,,
279,2019-09-19 19:07:00,1568941620.0,,1568942020,1568942020,,,,
280,2019-09-19 19:08:00,1568941680.0,,1568942079,1568942079,,,,
281,2019-09-13 08:53:00,1568386380.0,1568386881,,,,,,
282,2019-09-13 08:54:00,1568386440.0,1568386941,,,,,,
283,2019-09-13 08:55:00,1568386500.0,1568387001,,,,,,
284,2019-09-13 09:01:00,1568386860.0,1568387371,,,,,,
285,2019-09-13 09:02:00,1568386920.0,1568387430,,,,,,
286,2019-09-13 09:03:00,1568386980.0,1568387490,,,,,,
287,2019-09-14 11:00:00,1568480400.0,1568480908,,,,,,
288,2019-09-14 11:01:00,1568480460.0,1568480968,,,,,,
289,2019-09-14 11:02:00,1568480520.0,1568481029,,,,,,
290,2019-09-16 08:53:00,1568645580.0,1568646114,,,,,,
291,2019-09-16 08:54:00,1568645640.0,1568646175,,,,,,
292,2019-09-16 21:37:00,1568691420.0,1568691953,,,,,,
293,2019-09-16 21:38:00,1568691480.0,1568692013,,,,,,
294,2019-09-16 21:39:00,1568691540.0,1568692073,,,,,,
295,2019-09-17 08:38:00,1568731080.0,1568731622,,,,,,
296,2019-09-17 08:39:00,1568731140.0,1568731682,,,,,,
297,2019-09-17 08:40:00,1568731200.0,1568731742,,,,,,
298,2019-09-17 18:28:00,1568766480.0,1568767021,,,,,,
299,2019-09-17 18:29:00,1568766540.0,1568767081,,,,,,
300,2019-09-17 18:30:00,1568766600.0,1568767142,,,,,,
301,2019-09-18 09:02:00,1568818920.0,1568819470,,,,,,
302,2019-09-18 09:03:00,1568818980.0,1568819529,,,,,,
303,2019-09-18 09:04:00,1568819040.0,1568819589,,,,,,
304,2019-09-18 19:07:00,1568855220.0,1568855768,,,,,,
305,2019-09-18 19:08:00,1568855280.0,1568855828,,,,,,
306,2019-09-18 19:09:00,1568855340.0,1568855889,,,,,,
307,2019-09-19 08:45:00,1568904300.0,1568904858,,,,,,
308,2019-09-19 08:46:00,1568904360.0,1568904918,,,,,,
309,2019-09-19 08:47:00,1568904420.0,1568904978,,,,,,
310,2019-09-19 19:20:00,1568942400.0,1568942957,,,,,,
311,2019-09-19 19:21:00,1568942460.0,1568943017,,,,,,
312,2019-09-19 19:22:00,1568942520.0,1568943076,,,,,,
313,2019-09-19 19:24:00,1568942640.0,1568943197,,,,,,
314,2019-09-19 19:25:00,1568942700.0,1568943257,,,,,,
315,2019-09-20 16:16:00,1569017760.0,1569018315,,,,,,
316,2019-09-20 16:19:00,1569017940.0,1569018495,,,,,,
317,2019-09-20 16:20:00,1569018000.0,1569018555,,,,,,
318,2019-09-23 11:00:00,1569258000.0,,,,,,1569258126.1,
